symbol,x,y
historical,2009,85530
historical,2010,97130
historical,2011,103800
historical,2012,107160
historical,2013,112800
historical,2014,120655
forecast,2015,127112
forecast,2016,133569
forecast,2017,140026
forecast,2018,146483
forecast,2019,152940
forecast,2020,159397
